DATAFLOW,LAST UPDATE,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bosnia and Herzegovina,2022,32.4,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bosnia and Herzegovina,2023,32.2,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Belgium,2008,48.5,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Belgium,2009,48.7,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Belgium,2010,49.4,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Belgium,2011,48.4,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Belgium,2012,50.1,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Belgium,2013,49.4,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Belgium,2014,51.4,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Belgium,2015,49.2,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Belgium,2016,50.8,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Belgium,2017,51.4,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Belgium,2018,54.2,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Belgium,2019,54.6,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Belgium,2020,56.2,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Belgium,2021,57.8,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Belgium,2022,58.6,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Belgium,2023,57.3,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2008,33.0,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2009,35.2,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2010,35.9,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2011,34.8,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2012,34.0,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2013,37.7,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2014,39.3,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2015,39.6,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2016,39.8,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2017,40.4,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2018,41.1,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2019,39.4,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2020,39.2,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2021,39.7,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2022,40.5,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2023,43.3,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2008,35.1,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2009,37.4,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2010,35.8,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2011,37.6,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2012,38.6,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2013,41.6,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2014,44.2,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2015,48.3,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2016,48.9,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2017,51.0,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2018,53.7,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2019,54.7,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2020,55.3,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2021,54.3,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2022,52.8,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2023,54.0,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2008,54.7,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2009,53.4,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2010,53.7,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2011,57.8,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2012,59.8,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2013,58.0,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2014,62.9,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2015,63.9,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2016,65.3,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2017,65.5,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2018,66.5,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2019,68.9,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2020,68.2,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2021,67.4,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2022,68.3,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2023,70.1,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2008,19.7,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2009,22.5,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2010,25.4,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2011,28.5,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2012,32.8,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2013,34.2,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2014,35.1,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2015,38.1,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2016,39.0,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2017,40.5,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2018,40.7,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2019,39.5,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2020,40.4,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2021,43.3,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2022,43.1,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2023,41.1,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2008,24.8,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2009,26.9,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2010,27.2,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2011,29.5,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2012,31.0,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2013,31.9,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2014,28.9,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2015,30.6,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2016,31.5,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2017,32.5,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2018,33.6,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2019,34.4,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2020,36.6,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2021,38.8,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2022,39.3,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2023,40.5,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Denmark,2008,39.9,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Denmark,2009,44.5,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Denmark,2010,44.9,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Denmark,2011,46.5,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Denmark,2012,49.7,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Denmark,2013,50.0,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Denmark,2014,49.2,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Denmark,2015,52.0,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Denmark,2016,51.5,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Denmark,2017,53.8,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Denmark,2018,54.3,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Denmark,2019,55.7,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Denmark,2020,55.6,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Denmark,2021,57.8,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Denmark,2022,58.3,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Denmark,2023,57.9,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Estonia,2008,42.0,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Estonia,2009,46.4,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Estonia,2010,48.3,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Estonia,2011,48.6,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Estonia,2012,51.2,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Estonia,2013,52.0,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Estonia,2014,50.0,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Estonia,2015,49.2,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Estonia,2016,49.5,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Estonia,2017,51.3,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Estonia,2018,51.7,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Estonia,2019,53.8,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Estonia,2020,51.5,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Estonia,2021,54.3,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Estonia,2022,54.8,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Estonia,2023,56.0,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Greece,2008,31.4,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Greece,2009,33.6,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Greece,2010,35.8,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Greece,2011,37.5,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Greece,2012,39.7,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Greece,2013,42.6,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Greece,2014,44.5,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Greece,2015,46.3,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Greece,2016,48.2,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Greece,2017,50.1,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Greece,2018,51.0,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Greece,2019,50.0,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Greece,2020,51.0,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Greece,2021,51.1,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Greece,2022,51.8,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Greece,2023,53.3,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Spain,2008,45.4,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Spain,2009,45.1,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Spain,2010,46.4,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Spain,2011,45.7,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Spain,2012,46.0,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Spain,2013,46.5,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Spain,2014,47.5,b,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Spain,2015,47.0,,
ESTAT:SDG_04_20(1.0),12/06/25 23:00:00,Annual,Females,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Spain,2016,47.0,,
